Accession	Sample Name	SPUID	Organism	Tax ID	BioProject
SAMN12566116	AS208	AS208	skin metagenome	1338477	PRJNA560003
SAMN12566117	AS202	AS202	skin metagenome	1338477	PRJNA560003
SAMN12566118	AS203	AS203	skin metagenome	1338477	PRJNA560003
SAMN12566119	AS204	AS204	skin metagenome	1338477	PRJNA560003
SAMN12566120	AS205	AS205	skin metagenome	1338477	PRJNA560003
SAMN12566121	AS207	AS207	skin metagenome	1338477	PRJNA560003
SAMN12566122	AS206	AS206	skin metagenome	1338477	PRJNA560003
SAMN12566123	AS75	AS75	skin metagenome	1338477	PRJNA560003
SAMN12566124	AS89	AS89	skin metagenome	1338477	PRJNA560003
SAMN12566125	AS90	AS90	skin metagenome	1338477	PRJNA560003
SAMN12566126	AS91	AS91	skin metagenome	1338477	PRJNA560003
SAMN12566127	AS92	AS92	skin metagenome	1338477	PRJNA560003
SAMN12566128	AS93	AS93	skin metagenome	1338477	PRJNA560003
SAMN12566129	AS82	AS82	skin metagenome	1338477	PRJNA560003
SAMN12566130	AS83	AS83	skin metagenome	1338477	PRJNA560003
SAMN12566131	AS84	AS84	skin metagenome	1338477	PRJNA560003
SAMN12566132	AS74	AS74	skin metagenome	1338477	PRJNA560003
SAMN12566133	AS79	AS79	skin metagenome	1338477	PRJNA560003
SAMN12566134	AS80	AS80	skin metagenome	1338477	PRJNA560003
SAMN12566135	AS81	AS81	skin metagenome	1338477	PRJNA560003
SAMN12566136	AS85	AS85	skin metagenome	1338477	PRJNA560003
SAMN12566137	AS86	AS86	skin metagenome	1338477	PRJNA560003
SAMN12566138	AS87	AS87	skin metagenome	1338477	PRJNA560003
SAMN12566139	AS88	AS88	skin metagenome	1338477	PRJNA560003
SAMN12566140	AS76	AS76	skin metagenome	1338477	PRJNA560003
SAMN12566141	AS77	AS77	skin metagenome	1338477	PRJNA560003
SAMN12566142	AS78	AS78	skin metagenome	1338477	PRJNA560003
SAMN12566143	AS96BC16	AS96BC16	skin metagenome	1338477	PRJNA560003
SAMN12566144	AS98	AS98	skin metagenome	1338477	PRJNA560003
SAMN12566145	AS99	AS99	skin metagenome	1338477	PRJNA560003
SAMN12566146	AS100	AS100	skin metagenome	1338477	PRJNA560003
SAMN12566147	AS110	AS110	skin metagenome	1338477	PRJNA560003
SAMN12566148	AS111	AS111	skin metagenome	1338477	PRJNA560003
SAMN12566149	AS112	AS112	skin metagenome	1338477	PRJNA560003
SAMN12566150	AS113	AS113	skin metagenome	1338477	PRJNA560003
SAMN12566151	AS114	AS114	skin metagenome	1338477	PRJNA560003
SAMN12566152	AS115	AS115	skin metagenome	1338477	PRJNA560003
SAMN12566153	AS116	AS116	skin metagenome	1338477	PRJNA560003
SAMN12566154	AS117	AS117	skin metagenome	1338477	PRJNA560003
SAMN12566155	AS105	AS105	skin metagenome	1338477	PRJNA560003
SAMN12566156	AS106	AS106	skin metagenome	1338477	PRJNA560003
SAMN12566157	AS107	AS107	skin metagenome	1338477	PRJNA560003
SAMN12566158	AS108	AS108	skin metagenome	1338477	PRJNA560003
SAMN12566159	AS101	AS101	skin metagenome	1338477	PRJNA560003
SAMN12566160	AS102	AS102	skin metagenome	1338477	PRJNA560003
SAMN12566161	AS103	AS103	skin metagenome	1338477	PRJNA560003
SAMN12566162	AS104	AS104	skin metagenome	1338477	PRJNA560003
SAMN12566163	AS109BC18	AS109BC18	skin metagenome	1338477	PRJNA560003
SAMN12566164	AS237	AS237	skin metagenome	1338477	PRJNA560003
SAMN12566165	AS238	AS238	skin metagenome	1338477	PRJNA560003
SAMN12566166	AS239	AS239	skin metagenome	1338477	PRJNA560003
SAMN12566167	AS240	AS240	skin metagenome	1338477	PRJNA560003
SAMN12566168	AS244	AS244	skin metagenome	1338477	PRJNA560003
SAMN12566169	AS245	AS245	skin metagenome	1338477	PRJNA560003
SAMN12566170	AS246	AS246	skin metagenome	1338477	PRJNA560003
SAMN12566171	AS247	AS247	skin metagenome	1338477	PRJNA560003
SAMN12566172	AS241	AS241	skin metagenome	1338477	PRJNA560003
SAMN12566173	AS242	AS242	skin metagenome	1338477	PRJNA560003
SAMN12566174	AS243	AS243	skin metagenome	1338477	PRJNA560003
SAMN12566175	AS248	AS248	skin metagenome	1338477	PRJNA560003
SAMN12566176	AS249	AS249	skin metagenome	1338477	PRJNA560003
SAMN12566177	AS232	AS232	skin metagenome	1338477	PRJNA560003
SAMN12566178	AS233	AS233	skin metagenome	1338477	PRJNA560003
SAMN12566179	AS234	AS234	skin metagenome	1338477	PRJNA560003
SAMN12566180	AS235	AS235	skin metagenome	1338477	PRJNA560003
SAMN12566181	AS236	AS236	skin metagenome	1338477	PRJNA560003
SAMN12566182	AS226	AS226	skin metagenome	1338477	PRJNA560003
SAMN12566183	AS227	AS227	skin metagenome	1338477	PRJNA560003
SAMN12566184	AS228	AS228	skin metagenome	1338477	PRJNA560003
SAMN12566185	AS229	AS229	skin metagenome	1338477	PRJNA560003
SAMN12566186	AS230	AS230	skin metagenome	1338477	PRJNA560003
SAMN12566187	AS231	AS231	skin metagenome	1338477	PRJNA560003
SAMN12566188	AS128	AS128	skin metagenome	1338477	PRJNA560003
SAMN12566189	AS129	AS129	skin metagenome	1338477	PRJNA560003
SAMN12566190	AS130	AS130	skin metagenome	1338477	PRJNA560003
SAMN12566191	AS131	AS131	skin metagenome	1338477	PRJNA560003
SAMN12566192	AS132	AS132	skin metagenome	1338477	PRJNA560003
SAMN12566193	AS133	AS133	skin metagenome	1338477	PRJNA560003
SAMN12566194	AS134	AS134	skin metagenome	1338477	PRJNA560003
SAMN12566195	AS127	AS127	skin metagenome	1338477	PRJNA560003
SAMN12566196	AS126BC20	AS126BC20	skin metagenome	1338477	PRJNA560003
SAMN12566197	AS214	AS214	skin metagenome	1338477	PRJNA560003
SAMN12566198	AS215	AS215	skin metagenome	1338477	PRJNA560003
SAMN12566199	AS216	AS216	skin metagenome	1338477	PRJNA560003
SAMN12566200	AS217	AS217	skin metagenome	1338477	PRJNA560003
SAMN12566201	AS210	AS210	skin metagenome	1338477	PRJNA560003
SAMN12566202	AS211	AS211	skin metagenome	1338477	PRJNA560003
SAMN12566203	AS212	AS212	skin metagenome	1338477	PRJNA560003
SAMN12566204	AS213	AS213	skin metagenome	1338477	PRJNA560003
SAMN12566205	AS209	AS209	skin metagenome	1338477	PRJNA560003
SAMN12566206	AS218	AS218	skin metagenome	1338477	PRJNA560003
SAMN12566207	AS219	AS219	skin metagenome	1338477	PRJNA560003
SAMN12566208	AS220	AS220	skin metagenome	1338477	PRJNA560003
SAMN12566209	AS221	AS221	skin metagenome	1338477	PRJNA560003
SAMN12566210	AS222	AS222	skin metagenome	1338477	PRJNA560003
SAMN12566211	AS223	AS223	skin metagenome	1338477	PRJNA560003
SAMN12566212	AS224	AS224	skin metagenome	1338477	PRJNA560003
SAMN12566213	AS225	AS225	skin metagenome	1338477	PRJNA560003
SAMN12566214	AS138	AS138	skin metagenome	1338477	PRJNA560003
SAMN12566215	AS139	AS139	skin metagenome	1338477	PRJNA560003
SAMN12566216	AS140	AS140	skin metagenome	1338477	PRJNA560003
SAMN12566217	AS136	AS136	skin metagenome	1338477	PRJNA560003
SAMN12566218	AS137	AS137	skin metagenome	1338477	PRJNA560003
SAMN12566219	AS135BC21	AS135BC21	skin metagenome	1338477	PRJNA560003
SAMN12566220	AS172	AS172	skin metagenome	1338477	PRJNA560003
SAMN12566221	AS173	AS173	skin metagenome	1338477	PRJNA560003
