		RelAbund	RelAbund	RelAbund
		max	mean	min
Genus	Type			
Acinetobacter	skin	0.8952026082906381	0.03356206143074452	0.0
Acinetobacter	swab	0.4405594405594406	0.01822319395416521	0.0
Acinetobacter	water	0.0013018008244738556	0.00013018008244738557	0.0
Actibacter	swab	0.009714889123548046	0.0003074117802026323	0.0
Actinoplanes	skin	0.12562814070351758	0.004159571861622793	0.0
Actinoplanes	swab	0.06817496229260935	0.0020954637242889713	0.0
Actinotalea	swab	0.019290123456790122	0.0009067174854584567	0.0
Aeromonas	swab	0.22779043280182232	0.012972527646759983	0.0
Aeromonas	water	0.017485428809325562	0.005483013753852599	0.0
Agrococcus	swab	0.036569148936170214	0.0007629220029036399	0.0
Agromyces	swab	0.011618900077459334	0.0003526657689028117	0.0
Algoriphagus	swab	0.09761721752498079	0.0014487084623259132	0.0
Algoriphagus	water	0.0016086869093102755	0.0002872643092162603	0.0
Aliifodinibius	swab	0.03555941023417172	0.0007635751317890641	0.0
Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	swab	0.013513513513513514	0.0003228110795174851	0.0
Altererythrobacter	swab	0.03869565217391304	0.004066055493792392	0.0
Altererythrobacter	water	0.004556302885658494	0.0014382894129501985	0.0
Anaerobacillus	skin	0.6187419768934531	0.06824793533953953	0.0
Anaerobacillus	swab	0.4564393939393939	0.03692812630452925	0.0
Anaerobacillus	water	0.0019500780031201249	0.00037645941321523833	0.0
Annamia_HOs24	swab	0.07301293900184842	0.0034255924753732936	0.0
Annamia_HOs24	water	0.01014040561622465	0.0023029005530376618	0.0
Aquabacterium	swab	0.02698462503922184	0.0007601027997361869	0.0
Aquabacterium	water	0.015684697365775185	0.002727096237525486	0.0
Arcobacter	swab	0.06302843966179862	0.0010421989807875252	0.0
Arcobacter	water	0.23202886483485985	0.02547239968047857	0.0
Arenimonas	swab	0.013922227556409025	0.0009673290922531015	0.0
Arenimonas	water	0.019110764430577222	0.0028920228731861407	0.0
Arsenicitalea	swab	0.03496503496503497	0.0004589500278591663	0.0
Arthrobacter	swab	0.017626990144048522	0.00027495169662060365	0.0
Bacillus	skin	0.1306715063520871	0.004400123513127924	0.0
Bacillus	swab	0.10142267094997705	0.010179959997271244	0.0
Bacteroides	swab	0.1311972288374107	0.004202386917467897	0.0
Bacteroides	water	0.23498542274052478	0.02463277669069096	0.0
Blastococcus	skin	0.3816689466484268	0.02902934861395728	0.0
Blastococcus	swab	0.16811978771796815	0.01479652259518923	0.0
Blastomonas	swab	0.03138657131505761	0.002914731587685829	0.0
Blastomonas	water	0.014430577223088924	0.004467833858551469	0.0
Blastopirellula	swab	0.030694980694980695	0.001403177221391815	0.0
Blastopirellula	water	0.00969033073520118	0.002761417149876805	0.0
