#SampleID	BarcodeSequence	LinkerPrimerSequence	SP	family_or_tribe	type	Code	Main_Diet	Diet_Category	Location	Basin	Heb	lat_lon	Date	Time	T	Conductivity  	ConductivityA	Salinity	PercentO	pH	Sampling site	Stream	Status
AS208	AA	AA	Garra nana	Cyprinidae	Swab	Garra nana	plants	C	AgmonHula	N	ירדן_תעלה_משוחזרת	33.1232 N 35.5920 E	2-Nov-2017	18:00	19.86	322	290	0.15	9.4		J.4	J	pristine
AS202	AA	AA	Tilapia zillii	Tilapiinae	Swab	Tilapia	plants	C	AgmonHula	N	ירדן_תעלה_משוחזרת	33.1232 N 35.5920 E	2-Nov-2017	18:00	19.86	322	290	0.15	9.4		J.4	J	pristine
AS203	AA	AA	Tilapia zillii	Tilapiinae	Swab	Tilapia	plants	C	AgmonHula	N	ירדן_תעלה_משוחזרת	33.1232 N 35.5920 E	2-Nov-2017	18:00	19.86	322	290	0.15	9.4		J.4	J	pristine
AS204	AA	AA	Tilapia zillii	Tilapiinae	Swab	Tilapia	plants	C	AgmonHula	N	ירדן_תעלה_משוחזרת	33.1232 N 35.5920 E	2-Nov-2017	18:00	19.86	322	290	0.15	9.4		J.4	J	pristine
AS205	AA	AA	Tilapia zillii	Tilapiinae	Swab	Tilapia	plants	C	AgmonHula	N	ירדן_תעלה_משוחזרת	33.1232 N 35.5920 E	2-Nov-2017	18:00	19.86	322	290	0.15	9.4		J.4	J	pristine
AS207	AA	AA	Pseudophoxinus kervillei	Cyprinidae	Swab	Pseudophoxinus	invertebrates	B	AgmonHula	N	ירדן_תעלה_משוחזרת	33.1232 N 35.5920 E	2-Nov-2017	18:00	19.86	322	290	0.15	9.4		J.4	J	pristine
AS206	AA	AA	Acanthobrama lissneri	Cyprinidae	Swab	Acanthobrama lissneri	plants	C	AgmonHula	N	ירדן_תעלה_משוחזרת	33.1232 N 35.5920 E	2-Nov-2017	18:00	19.86	322	290	0.15	9.4		J.4	J	pristine
AS200	AA	AA	Water	Water	Water	W	Water	Water	AgmonHula	N	ירדן_תעלה_משוחזרת	33.1232 N 35.5920 E	2-Nov-2017	18:00	19.86	322	290	0.15	9.4		J.4	J	pristine
AS75	AA	AA	OH	Tilapiinae	Swab	tilapine hybrid	phytoplankton	C	AsiCemetery	S	ניר_דויד_בית_קברות	32.5014 N 35.4610 E	14-Aug-2017	15:55	31.67	3917		2.04	9.7	8.6	A	A	pristine
AS89	AA	AA	Tilapia zillii	Tilapiinae	Swab	Tilapia	plants	C	AsiCemetery	S	ניר_דויד_בית_קברות	32.5014 N 35.4610 E	14-Aug-2017	15:55	31.67	3917		2.04	9.7	8.6	A	A	pristine
