sample_name	library_ID	title	library_strategy	library_source	library_selection	library_layout	platform	instrument_model	design_description	filetype	filename	filename2
AS127	AS127	16 rRNA V3V4 metabarcoding sample of Garra jordanica Fish skin swab collected from Israel:Hermon Stream biological replicate 1	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Single barcode, two-step PCR, V3-V4 fragment	fastq	AS127_S87_L001_R1_001.fastq.gz	AS127_S87_L001_R2_001.fastq.gz
AS146BC22	AS146BC22	16 rRNA V3V4 metabarcoding sample of  Water collected from Israel:Snir Stream 	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Single barcode, two-step PCR, V3-V4 fragment	fastq	AS146BC22_S156_L001_R1_001.fastq.gz	AS146BC22_S156_L001_R2_001.fastq.gz
AS131	AS131	16 rRNA V3V4 metabarcoding sample of Capoeta damascina Fish skin swab collected from Israel:Hermon Stream biological replicate 4	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Single barcode, two-step PCR, V3-V4 fragment	fastq	AS131_S91_L001_R1_001.fastq.gz	AS131_S91_L001_R2_001.fastq.gz
AS178	AS178	16 rRNA V3V4 metabarcoding sample of Oxynoemacheilus insignis Fish skin swab collected from Israel:Snir Stream biological replicate 2	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Single barcode, two-step PCR, V3-V4 fragment	fastq	AS178_S67_L001_R1_001.fastq.gz	AS178_S67_L001_R2_001.fastq.gz
AS246	AS246	16 rRNA V3V4 metabarcoding sample of Pseudophoxinus kervillei Fish skin swab collected from Israel:Jordan River, North of Sea of Galilee biological replicate 3	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Single barcode, two-step PCR, V3-V4 fragment	fastq	AS246_S69_L001_R1_001.fastq.gz	AS246_S69_L001_R2_001.fastq.gz
AS122	AS122	16 rRNA V3V4 metabarcoding sample of Capoeta damascina Fish skin swab collected from Israel:Hermon Stream biological replicate 1	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Single barcode, two-step PCR, V3-V4 fragment	fastq	AS122_S12_L001_R1_001.fastq.gz	AS122_S12_L001_R2_001.fastq.gz
AS219	AS219	16 rRNA V3V4 metabarcoding sample of Carasobarbus canis Fish skin swab collected from Israel:Jordan River, North of Sea of Galilee biological replicate 2	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Single barcode, two-step PCR, V3-V4 fragment	fastq	AS219_S46_L001_R1_001.fastq.gz	AS219_S46_L001_R2_001.fastq.gz
AS126BC20	AS126BC20	16 rRNA V3V4 metabarcoding sample of  Water collected from Israel:Hermon Stream 	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Single barcode, two-step PCR, V3-V4 fragment	fastq	AS126BC20_S154_L001_R1_001.fastq.gz	AS126BC20_S154_L001_R2_001.fastq.gz
AS191	AS191	16 rRNA V3V4 metabarcoding sample of Barbus longiceps Fish skin swab collected from Israel:Snir Stream biological replicate 3	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Single barcode, two-step PCR, V3-V4 fragment	fastq	AS191_S80_L001_R1_001.fastq.gz	AS191_S80_L001_R2_001.fastq.gz
AS77	AS77	16 rRNA V3V4 metabarcoding sample of Cichlidae Fish skin swab collected from Israel:Asi Stream biological replicate 2	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Single barcode, two-step PCR, V3-V4 fragment	fastq	AS77_S20_L001_R1_001.fastq.gz	AS77_S20_L001_R2_001.fastq.gz
AS91	AS91	16 rRNA V3V4 metabarcoding sample of Coptodon zillii Fish skin swab collected from Israel:Asi Stream biological replicate 3	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Single barcode, two-step PCR, V3-V4 fragment	fastq	AS91_S35_L001_R1_001.fastq.gz	AS91_S35_L001_R2_001.fastq.gz
AS180	AS180	16 rRNA V3V4 metabarcoding sample of Oxynoemacheilus insignis Fish skin swab collected from Israel:Snir Stream biological replicate 4	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Single barcode, two-step PCR, V3-V4 fragment	fastq	AS180_S69_L001_R1_001.fastq.gz	AS180_S69_L001_R2_001.fastq.gz
AS229	AS229	16 rRNA V3V4 metabarcoding sample of Oxynoemacheilus insignis Fish skin swab collected from Israel:Jordan River, North of Sea of Galilee biological replicate 4	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Single barcode, two-step PCR, V3-V4 fragment	fastq	AS229_S63_L001_R1_001.fastq.gz	AS229_S63_L001_R2_001.fastq.gz
AS182	AS182	16 rRNA V3V4 metabarcoding sample of Oxynoemacheilus insignis Fish skin swab collected from Israel:Snir Stream biological replicate 6	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Single barcode, two-step PCR, V3-V4 fragment	fastq	AS182_S71_L001_R1_001.fastq.gz	AS182_S71_L001_R2_001.fastq.gz
AS93	AS93	16 rRNA V3V4 metabarcoding sample of Coptodon zillii Fish skin swab collected from Israel:Asi Stream biological replicate 5	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Single barcode, two-step PCR, V3-V4 fragment	fastq	AS93_S37_L001_R1_001.fastq.gz	AS93_S37_L001_R2_001.fastq.gz
AS145	AS145	16 rRNA V3V4 metabarcoding sample of Oxynoemacheilus insignis Fish skin swab collected from Israel:Tel Saharonim biological replicate 5	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Single barcode, two-step PCR, V3-V4 fragment	fastq	AS145_S85_L001_R1_001.fastq.gz	AS145_S85_L001_R2_001.fastq.gz
