function	AS102	AS103	AS105	AS106	AS107	AS111	AS112	AS113	AS114	AS115	AS117	AS120	AS122	AS123	AS124	AS125	AS127	AS128	AS129	AS130	AS131	AS132	AS133	AS134	AS136	AS137	AS139	AS140	AS141	AS142	AS149	AS150	AS152	AS153	AS154	AS155	AS156	AS157	AS160	AS162	AS163	AS164	AS167	AS169	AS172	AS173	AS174	AS175	AS177	AS178	AS179	AS180	AS181	AS182	AS183	AS185	AS186	AS187	AS188	AS189	AS190	AS191	AS193	AS195	AS196	AS204	AS205	AS206	AS207	AS208	AS212	AS214	AS216	AS221	AS223	AS226	AS227	AS228	AS229	AS230	AS232	AS233	AS235	AS236	AS237	AS239	AS240	AS242	AS244	AS245	AS246	AS247	AS248	AS249	AS66	AS67	AS68	AS69	AS71	AS72	AS73	AS74	AS75	AS76	AS77	AS78	AS79	AS80	AS81	AS82	AS83	AS84	AS85	AS86	AS87	AS88	AS90	AS91	AS92	AS93
1-ACYLGLYCEROL-3-P-ACYLTRANSFER-RXN	1311.9499999999996	1214.36	1672.8	739.63	1119.67	1004.99	4990.47	4325.47	1411.77	1242.57	2604.17	2940.63	1653.3	4510.26	1462.14	1702.2	5416.35	6876.67	1594.71	6896.67	2469.6800000000007	5858.950000000002	6956.33	4035.55	3796.51	4197.0	2410.33	6519.27	3262.04	2957.57	3069.67	4038.0	3388.99	3086.16	4683.46	3960.67	1624.32	1753.5800000000004	3089.83	4729.15	2433.9500000000007	1718.9500000000005	2415.8	1166.5	3231.69	1574.02	2678.17	1385.7	3323.73	1978.77	1395.17	2085.4	1983.4	5351.57	4106.950000000002	3758.66	2634.86	3722.0	3050.4300000000007	2390.67	2639.21	5023.63	2277.99	1837.5	4726.84	1338.85	1481.6	1811.14	2559.38	2451.87	2642.16	4532.49	1489.94	1575.16	1828.99	4393.5	3247.67	4188.73	3105.04	4682.99	2777.640000000001	2244.85	1624.39	2448.16	1645.46	1165.88	1483.0	1948.9	2699.58	1332.64	2102.69	2285.640000000001	1894.28	1612.48	1590.25	3778.51	2479.2	7004.5	3555.16	4103.0	8102.33	1708.83	6805.08	4442.17	1872.49	15749.0	5244.68	5876.16	3720.75	2621.44	2199.67	2503.66	2496.1599999999994	5113.84	5908.0	4735.84	4727.28	5123.03	910.67	3720.5
1.1.1.136-RXN	9.33	40.0	151.0	26.0	22.0	0.0	0.0	5.0	12.0	0.0	274.0	226.0	2.0	0.0	5.67	26.0	122.33	0.0	0.0	47.0	935.0	2134.0	4436.0	258.33	0.0	0.0	0.0	10.5	268.17	231.17	2.0	51.0	194.16	229.33	102.67	91.67	63.42	59.0	256.66	95.0	209.0	225.0	225.0	105.0	285.0	23.340000000000003	0.0	0.0	539.0	399.0	947.0	1012.0	316.0	1736.0	128.5	207.33	46.0	214.5	182.0	249.67	108.0	90.33	13.0	26.0	103.0	7.0	0.0	120.0	177.0	48.67	194.25	61.5	0.0	63.75	8.0	177.0	1080.25	498.5	192.0	110.25	0.0	102.75	68.25	49.0	183.0	17.0	15.5	156.0	285.0	79.0	110.0	64.75	60.0	162.0	16.0	335.0	307.0	48.75	183.08	383.0	685.0	164.0	341.0	579.5	137.0	210.0	177.0	320.8300000000001	65.0	222.0	274.0	344.67	294.0	512.5	901.0	401.5	611.5	491.0	35.0	243.5
1.1.1.215-RXN	11.0	24.6	30.4	5.8	21.0	4.67	3.6	6.4	140.27	332.37	25.8	72.87	33.0	9.13	8.8	12.8	0.0	127.0	20.0	109.0	7.67	28.38	60.0	13.0	119.0	82.0	14.33	175.07	576.4	380.43	10.0	36.0	12.0	23.0	57.12000000000001	49.0	7.2	9.68	66.0	91.75	29.0	28.05	4.0	21.0	21.66	21.83	51.67	17.490000000000002	50.67	31.08	2.33	61.12	34.0	85.13	19.0	164.0	276.86	137.0	42.43	197.0	208.21	330.5	209.33	19.0	227.94	10.05	30.6	86.60000000000002	34.4	25.4	28.2	51.07	26.4	73.2	39.33	171.8	155.53	291.67	139.8	35.33	33.6	98.47	69.73	24.0	33.0	15.0	0.0	32.0	32.2	25.0	8.19	29.6	4.0	67.5	15.25	762.8	222.6	0.0	46.0	308.0	90.0	17.0	159.42000000000004	124.0	29.0	23.0	247.08	136.0	203.25	33.0	3.0	4.33	3.33	78.17	97.0	91.5	70.12	188.8	8.0	0.0
1.1.1.251-RXN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.43	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.86	0.0	3.43	0.0	3.71	0.0	0.0	0.0	3.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.1.1.253-RXN	46.0	42.0	7.0	0.0	10.0	5.0	0.0	5.0	0.0	0.0	0.0	7.0	0.0	9.0	15.0	0.0	47.0	33.0	20.5	38.0	0.0	53.5	45.0	46.0	6.0	0.0	0.0	8.0	297.5	110.5	49.0	0.0	36.33	35.0	23.0	2.67	35.67	0.0	165.99999999999997	29.0	87.67	181.0	156.0	63.5	131.5	0.0	63.0	0.0	72.0	0.0	32.0	0.0	43.0	105.0	667.5	58.0	82.0	148.0	60.0	145.67000000000004	125.0	32.33	46.0	38.0	140.0	8.0	0.0	0.0	52.0	64.67	7.0	0.0	3.0	0.0	0.0	0.0	0.0	7.0	12.0	0.0	0.0	0.0	0.0	0.0	229.0	19.0	34.5	243.67	302.0	144.0	158.0	153.0	101.0	251.0	16.0	577.6700000000002	113.5	0.0	198.5	532.0	609.6700000000002	164.0	439.0	524.0	174.5	350.0	300.0	460.5	231.0	181.0	165.0	383.0	281.17	473.5	581.5	336.5	507.5	410.0	71.0	290.0
1.1.1.261-RXN	24.97	36.73	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	2.27	20.0	52.0	0.0	5.67	0.0	54.24	0.0	25.27	0.0	40.0	243.45	42.0	31.45	6.09	0.0	0.0	8.0	100.0	14.0	52.0	0.0	18.33	58.33	16.67	15.0	2.67	18.0	73.33	0.45	135.67000000000002	26.0	160.73	0.0	1.27	6.67	148.0	0.0	0.0	90.0	18.0	0.0	40.0	11.0	0.0	154.0	130.0	173.0	187.0	144.0	156.0	91.0	45.0	96.0	181.0	10.0	16.0	24.0	30.0	10.0	26.0	0.0	12.0	16.0	22.0	0.0	12.0	19.0	0.0	0.0	10.0	16.0	0.0	0.0	84.0	15.67	0.0	55.0	175.0	42.0	76.0	48.0	49.0	89.0	0.0	260.36	0.0	0.0	192.0	291.0	504.0	129.0	217.0	93.0	40.0	76.0	11.0	93.0	48.0	84.0	30.0	80.0	90.67	166.0	121.0	162.0	114.0	59.0	12.0	78.0
1.1.1.264-RXN	0.0	33.0	110.0	45.0	17.0	0.0	0.0	0.0	0.0	40.0	0.0	32.0	8.0	18.0	11.0	59.0	0.0	33.0	52.0	104.0	52.67	0.0	0.0	24.0	13.0	73.0	0.0	26.0	307.0	340.43	101.0	164.0	58.0	84.0	65.0	80.0	56.0	63.0	0.0	158.0	92.0	0.0	16.0	45.0	19.33	92.67	137.0	16.67	76.0	22.0	0.0	13.0	72.0	115.33	76.0	56.0	15.86	86.0	43.43	64.0	88.71000000000002	17.0	79.33	0.0	127.14	21.0	16.0	100.0	31.0	18.0	352.0	639.0	78.0	122.0	0.0	827.0	281.0	325.0	442.0	1024.0	794.0	258.0	272.0	426.0	26.0	112.0	118.0	12.0	92.0	0.0	28.29	63.0	54.0	0.0	0.0	105.0	500.0	484.0	66.0	187.0	0.0	0.0	177.0	0.0	39.0	39.0	208.0	146.0	121.0	11.0	38.0	81.33	3.33	19.0	42.0	57.0	14.0	278.0	16.0	0.0
1.1.1.271-RXN	128.34	202.5	589.0	114.33	307.67	31.66	761.0	635.67	84.17	65.5	262.33	243.0	108.5	61.0	22.5	250.0	936.0	358.67	52.17	482.67	971.67	2391.51	4549.33	448.82	518.5	1275.5	735.0	1475.0	963.0	716.9300000000002	362.17	267.0	637.3299999999998	445.5	385.5	450.67	148.84	232.0	424.5	640.0	644.83	450.5	532.0	202.5	1451.66	159.67	476.5	198.34	856.0	495.0	1048.5	1178.0	608.5	2164.83	348.3400000000001	459.0	305.86	626.0	634.9300000000002	510.17	456.21	674.3299999999998	276.33000000000004	26.5	646.64	24.0	54.0	91.0	155.5	118.34	644.3299999999998	769.6700000000002	82.67	229.0	89.33	1571.0	1477.5	1147.0	1095.0	1858.5	964.5	594.0	537.5	750.5	188.5	361.5	382.5	169.67	428.67	172.17000000000004	173.29	244.17	265.5	125.0	414.5	1073.9899999999998	915.0	536.5	206.99	657.0	598.6600000000002	391.33	2680.49	1888.67	631.66	811.5	2208.17	2195.5	1680.0	499.83	265.83000000000004	558.99	589.66	1718.67	2309.5	1814.01	1635.49	1985.83	184.67	1470.8300000000004
1.1.1.292-RXN	15.67	10.0	6.4	3.0	12.0	8.33	2.2	10.4	9.67	2.2	7.8	47.2	34.8	3.8	8.0	8.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.33	0.0	0.0	0.0	9.4	96.0	5.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	59.0	0.0	0.0	0.0	0.0	0.0	0.0	4.67	0.0	3.2	0.0	0.0	18.0	5.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.0	0.0	13.8	23.0	31.2	63.2	12.07	18.53	23.07	18.87	11.2	53.33	6.6	5.2	12.4	4.8	0.0	4.6	5.0	8.6	0.0	86.0	11.0	0.0	55.0	182.87	55.67	78.4	53.67	53.0	89.0	0.0	263.0	0.0	0.0	156.0	346.0	504.0	129.0	217.0	49.0	44.33	22.0	11.0	69.0	32.0	84.0	38.67	54.0	36.0	156.0	108.0	134.0	114.0	59.0	0.0	78.0
1.1.1.34-RXN	0.0	0.0	0.0	5.0	0.0	13.33	96.67	55.0	0.0	0.0	0.0	0.0	0.0	3.33	0.0	0.0	7.67	12.0	0.0	7.0	11.67	11.33	0.0	37.33	2.33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.33	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	76.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.1.1.39-RXN	230.58	241.8	444.0	437.38	229.17	833.33	4236.07	3259.67	216.1	326.17	814.53	943.45	884.7	4179.66	1150.14	921.4	3840.53	5198.67	1022.17	4957.67	1214.67	3026.05	1708.33	3191.33	2827.33	2509.0	1128.33	4273.47	203.0	217.83	1289.17	2798.25	1609.66	1521.91	2412.21	1975.0	830.6099999999999	701.53	1973.66	2842.25	768.9399999999998	496.15	1068.67	499.5	402.16	969.83	1490.67	1020.29	2320.95	903.69	261.5	636.51	928.45	2525.34	1422.56	1644.0	1160.36	1415.0	1322.93	625.0	897.71	2128.9	1268.0	676.0	2527.04	684.25	277.1	774.0699999999998	1090.59	1707.78	998.0	2077.61	797.2	503.28	391.33	2901.1	1288.55	2298.25	1782.72	2991.66	2016.22	1246.41	1007.91	1410.33	457.23	560.78	687.0	892.78	779.6700000000002	311.1	444.34	587.5	475.89	377.99	750.25	739.8	213.5	3728.0	1519.0	789.0	2863.0	608.08	1350.83	1532.67	701.5799999999998	9624.0	428.48	1776.0	879.75	790.39	636.8299999999998	609.8299999999998	672.0	1852.34	2248.75	1387.34	1599.53	1546.23	323.17	1285.25
1.1.1.43-RXN	0.0	1.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8	0.0	0.0	0.0	0.0	7.67	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.6	2.4	0.0	10.0	0.0	13.4	4.0	0.0	8.33	8.67	0.0	7.67	0.0	13.6	0.0	0.0	12.0	12.73	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	4.33	0.0	3.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6	0.0	0.8	2.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.2	0.0	1.8	0.0	4.0	0.0	0.0	13.6	0.0	0.0	0.0	0.0	0.0	15.0	0.0	7.0	7.0	13.6	19.0	0.0	0.0	0.0	4.33	3.33	0.0	0.0	0.0	0.0	15.4	0.0	0.0
1.1.1.51-RXN	37.25	19.5	107.0	0.0	122.0	0.0	0.0	0.0	18.0	0.0	11.25	0.0	0.0	0.0	0.0	0.0	24.0	0.0	0.0	84.5	0.0	0.0	0.0	0.0	24.0	0.0	0.0	18.0	6.75	244.75	16.0	0.0	0.0	0.0	0.0	104.0	0.0	0.0	8.25	44.0	5.25	72.0	0.0	0.0	0.0	0.0	0.0	0.0	20.25	0.0	0.0	0.0	0.0	9.0	0.0	83.25	90.75	155.0	41.25	64.5	85.5	63.0	10.5	20.25	70.5	15.75	0.0	0.0	0.0	23.25	0.0	9.75	0.0	0.0	18.0	0.0	7.5	12.75	30.0	16.0	0.0	3.75	0.0	7.5	11.25	0.0	0.0	0.0	3.75	0.0	0.0	0.0	0.0	9.0	0.0	0.0	23.25	154.0	0.0	30.0	0.0	0.0	60.75	36.0	0.0	27.0	66.0	44.25	105.0	39.75	15.75	0.0	75.0	40.5	21.75	24.75	9.0	27.75	0.0	57.0
1.1.1.53-RXN	39.33	21.0	132.0	39.0	99.0	0.0	0.0	26.0	34.0	5.0	520.0	0.0	0.0	139.0	5.67	18.0	204.33	86.0	64.0	95.0	9.0	12.0	42.0	48.0	42.0	30.0	54.0	95.0	23.0	144.0	8.0	72.0	18.33	58.33	16.67	86.0	0.0	9.0	73.33	39.0	46.0	82.0	23.0	8.0	43.0	51.67	84.0	29.0	30.0	20.0	10.0	24.0	57.0	102.5	114.5	61.0	0.0	361.0	0.0	79.0	156.0	0.0	0.0	30.0	57.0	25.0	0.0	8.0	53.5	34.0	0.0	176.0	81.0	65.0	218.0	170.0	42.0	95.0	116.5	146.5	27.0	39.0	29.0	59.5	18.0	13.67	3.0	22.0	27.0	10.5	0.0	36.5	5.5	0.0	0.0	0.0	0.0	163.5	69.0	60.0	44.0	9.0	30.0	0.0	0.0	0.0	6.0	0.0	11.0	0.0	0.0	13.0	0.0	0.0	12.0	26.0	8.0	14.0	24.0	0.0
1.1.1.8-RXN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	44.0	44.0	0.0	0.0	0.0	0.0	0.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	33.0	0.0	0.0	0.0	97.0	0.0	0.0	38.0	0.0	0.0	0.0	0.0	0.0	0.0
1.1.1.83-RXN	102.0	257.8	337.8	53.8	269.0	9.34	5.800000000000002	12.8	15.6	92.9	114.6	115.4	63.8	25.6	27.8	256.6	64.0	180.0	168.0	349.0	130.67000000000002	33.38	20.0	130.0	231.0	432.0	28.66	472.14	619.2	515.0	116.0	240.0	94.0	102.0	115.12	162.0	74.6	85.28	31.0	284.75	103.0	108.65	39.78	142.0	126.33	109.83	185.0	38.69	495.0	48.92	14.0	127.12	416.56	630.6700000000002	1022.5	323.0	159.5	534.0	263.0	369.0	441.0	237.0	274.33000000000004	36.5	614.9	85.6	120.6	132.8	202.21	103.8	1188.4	1694.3	206.6	320.9	46.0	2884.8	962.84	1093.6	1427.6	3313.44	2705.2	1027.8	1051.0	1554.5	101.5	409.0	397.5	64.0	419.4	31.8	115.8	227.3	227.0	4.0	30.5	1252.8	566.0	944.5	223.0	391.0	1087.0	113.0	408.84	315.0	143.0	68.0	400.48	472.0	395.25	143.89	306.0	271.33	122.33	354.34	276.5	377.5	201.12	437.4	83.0	179.0
