function	AS102	AS103	AS105	AS106	AS107	AS111	AS112	AS113	AS114	AS115	AS117	AS120	AS122	AS123	AS124	AS125	AS127	AS128	AS129	AS130	AS131	AS132	AS133	AS134	AS136	AS137	AS139	AS140	AS141	AS142	AS144	AS149	AS150	AS152	AS153	AS154	AS155	AS156	AS157	AS160	AS162	AS163	AS164	AS167	AS169	AS172	AS173	AS174	AS175	AS177	AS178	AS179	AS180	AS181	AS182	AS183	AS185	AS186	AS187	AS188	AS189	AS190	AS191	AS193	AS195	AS196	AS204	AS205	AS206	AS207	AS208	AS212	AS214	AS216	AS221	AS223	AS226	AS227	AS228	AS229	AS230	AS232	AS233	AS235	AS236	AS237	AS239	AS240	AS242	AS244	AS245	AS246	AS247	AS248	AS249	AS59	AS66	AS67	AS68	AS69	AS71	AS72	AS73	AS74	AS75	AS76	AS77	AS78	AS79	AS80	AS81	AS82	AS83	AS84	AS85	AS86	AS87	AS88	AS90	AS91	AS92	AS93
1-ACYLGLYCEROL-3-P-ACYLTRANSFER-RXN	1653.2899999999993	1437.9799999999998	2187.26	936.29	1594.51	1053.11	5633.52	4683.45	1599.77	1463.57	3078.17	3065.79	1740.3000000000004	4697.26	1997.14	1826.7	6544.35	8055.33	2024.71	8201.17	3081.23	7028.6100000000015	7479.33	5029.219999999998	4545.51	5114.71	2757.33	7864.27	4368.299999999998	3679.57	2285.3	5569.01	5026.88	5888.49	5479.67	8404.29	6734.67	2938.82	2728.24	3860.33	6209.73	4419.54	3997.45	2864.8	1397.5000000000002	5021.69	1949.02	3266.17	1682.7	4297.299999999998	3316.4300000000007	1933.1	3594.7200000000007	2670.4	6387.56	4864.45	5087.83	4225.3600000000015	6810.0	5017.68	4198.17	5438.37	6972.63	3000.49	2374.5	6922.34	1394.35	1561.6	1989.14	2919.100000000001	2822.37	3549.66	6301.99	1676.5800000000004	2019.82	1917.74	6059.1399999999985	4207.53	6526.6	5191.230000000001	6204.870000000001	2990.640000000001	3183.97	2415.49	3678.16	2358.71	1838.38	2424.0	2652.9	4041.58	2058.140000000001	2634.69	3502.390000000001	2560.28	2277.78	4449.0	2522.25	5007.51	3567.1	10781.5	4597.16	4880.5	9456.33	2018.33	7723.58	5801.940000000001	2758.99	16027.0	6593.34	6771.16	4101.59	3484.94	2995.17	3196.66	5176.18	6984.32	7066.6	6007.83	6717.44	6354.33	1429.99	5524.5
1.1.1.136-RXN	53.33	98.0	166.0	55.0	58.5	0.0	0.0	5.0	12.0	0.0	303.0	241.0	13.0	0.0	31.67	49.0	217.33	138.0	31.0	239.0	1011.0	2509.0	4604.0	360.33	13.0	0.0	32.0	44.5	572.1700000000002	327.17	254.5	229.0	83.5	609.16	737.5	610.5	469.17	433.42	266.0	296.66	205.33	804.5	804.5	342.0	99.0	686.0	73.34	54.0	34.0	617.29	801.0	980.0	1426.0	464.0	1861.0	165.36	501.00000000000006	320.0	482.5	641.5	442.67	336.0	393.33	39.0	151.5	307.0	21.0	0.0	182.0	177.0	87.67	413.25	310.5	64.57	130.75	19.0	304.0	1167.25	758.5	364.0	241.25	0.0	134.75	128.25	179.0	295.9600000000001	78.0	114.5	246.5	413.0	134.5	163.0	155.75	106.0	290.5	603.0	79.0	347.0	479.5	568.75	214.08	598.5	804.0	198.5	499.5	784.5	488.0	231.0	480.5	504.33	78.0	409.0	332.0	468.67	1200.83	771.3299999999998	1061.0	603.0	1092.0	724.0	133.32999999999998	626.0
1.1.1.145-RXN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.1.1.215-RXN	31.0	41.6	40.6	22.8	43.0	4.67	3.6	18.0	162.26999999999995	365.37	249.8	114.87	64.0	14.13	14.8	32.800000000000004	112.0	171.0	64.0	198.0	44.87000000000001	28.38	60.0	85.0	167.0	208.71	14.33	324.07	614.8	398.43	188.0	26.0	86.0	43.0	23.0	199.12	190.0	29.2	48.68	66.0	91.75	100.2	61.55	43.0	21.0	42.66	77.83	93.67	17.490000000000002	114.67	53.08000000000001	8.83	61.12	67.0	103.13	92.0	242.0	356.86	198.5	42.43	385.0	500.21	342.5	240.33	51.0	240.44	37.05	44.6	144.60000000000005	68.4	53.4	50.2	61.07	48.4	124.2	45.33	414.1	283.33	554.2700000000002	397.2	213.83	48.6	258.97	222.13	168.0	53.0	19.0	3.0	43.0	99.2	34.0	25.19	60.6	4.0	134.7	7.0	78.25	778.8	330.8	270.0	73.0	308.0	111.0	17.0	159.42000000000004	181.07	29.0	23.0	313.08	147.0	240.25	33.0	44.0	4.33	140.13	78.17	97.0	91.5	98.12	194.0	8.0	26.0
1.1.1.251-RXN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	17.0	0.0	0.0	0.0	53.0	0.0	14.0	0.0	46.0	0.0	3.43	0.0	0.0	50.0	0.0	0.0	0.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	2.86	0.0	3.43	0.0	3.71	0.0	0.0	0.0	3.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	45.0	56.0	80.0	80.0	0.0	0.0	44.0	30.0	0.0	0.0	0.0	0.0	0.0	7.0	9.0	1.29	0.0	0.0	35.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.1.1.253-RXN	49.0	58.5	7.0	0.0	46.0	5.0	0.0	5.0	0.0	0.0	0.0	8.5	0.0	9.0	24.0	10.0	76.0	180.0	20.5	38.0	17.75	256.5	146.0	97.0	6.0	0.0	0.0	8.0	379.0	180.0	287.0	109.0	32.5	118.33	136.67000000000002	131.82999999999998	166.67000000000004	210.67	84.0	252.0	72.33	568.17	597.0	177.0	101.5	340.5	34.0	76.0	6.0	200.0	271.0	81.5	244.5	87.0	190.0	657.0	129.67000000000002	178.0	384.0	277.25	303.67	308.0	241.33	46.0	122.5	194.0	26.0	0.0	0.0	67.0	114.67	8.5	27.0	3.0	0.0	8.75	0.0	2.0	18.5	13.25	0.0	0.0	0.0	0.0	0.0	375.67	38.0	70.5	378.17	519.0	272.5	221.0	255.75	131.0	412.5	612.0	30.0	589.6700000000002	272.0	127.0	226.5	697.5	694.6700000000002	187.5	499.5	685.0	386.0	350.0	487.5	632.5	293.0	298.0	260.5	508.0	788.9999999999999	688.3299999999998	624.5	443.5	805.0	614.0	127.83	543.0
1.1.1.261-RXN	24.97	36.73	0.0	0.0	8.0	0.0	0.0	6.0	0.0	0.0	2.27	20.0	52.0	0.0	28.67	0.0	54.24	0.0	25.27	0.0	56.0	243.45	42.0	31.45	6.09	0.0	20.0	8.0	124.0	14.0	129.0	71.0	18.0	111.33	201.33	102.67	126.0	20.67	65.0	73.33	81.45	135.67000000000002	46.0	181.73	0.0	34.27	6.67	148.0	37.0	13.0	120.0	18.0	33.0	55.0	11.0	0.0	154.0	130.0	173.0	204.0	144.0	156.0	202.0	45.0	96.0	181.0	10.0	16.0	24.0	30.0	10.0	26.0	27.0	12.0	16.0	22.0	8.0	13.0	32.0	4.0	0.0	10.0	16.0	0.0	0.0	84.0	15.67	21.0	55.0	181.0	45.0	85.0	48.0	56.0	89.0	541.0	0.0	260.36	17.0	32.0	192.0	377.0	504.0	129.0	217.0	93.0	57.0	76.0	70.0	93.0	48.0	99.0	30.0	127.0	90.67	166.0	121.0	162.0	161.0	91.0	12.0	161.0
1.1.1.264-RXN	0.0	33.0	143.0	45.0	26.0	0.0	0.0	0.0	0.0	47.0	57.0	92.0	52.0	18.0	36.0	59.0	75.0	33.0	82.0	176.0	131.67000000000002	60.0	0.0	24.0	46.0	73.0	0.0	36.0	325.0	340.43	76.0	121.0	164.0	99.0	84.0	185.0	159.0	82.0	95.0	22.0	184.0	92.0	9.0	16.0	45.0	19.33	92.67	183.0	16.67	76.0	22.0	0.0	13.0	89.0	134.32999999999998	76.0	166.0	95.86	94.0	43.43	208.0	208.71	44.0	147.33	32.0	134.14	21.0	16.0	131.0	42.0	92.0	368.0	679.0	86.0	137.0	0.0	896.0	314.0	440.0	522.0	1139.0	849.0	340.0	272.0	541.0	43.0	112.0	118.0	32.0	110.0	4.0	59.29	129.0	80.0	5.0	0.0	63.0	105.0	687.0	491.0	84.0	187.0	0.0	0.0	177.0	0.0	39.0	39.0	230.0	146.0	136.0	11.0	38.0	81.33	3.33	19.0	42.0	61.0	14.0	399.0	16.0	0.0
1.1.1.271-RXN	193.01	268.17	694.33	183.66	464.84	45.66	967.0	745.67	105.17	72.5	341.33	248.33	123.5	67.0	25.5	274.0	1159.0	618.0	91.17	766.6700000000002	1089.17	2654.51	4617.33	566.8199999999998	547.5	1329.5	762.0	1541.0	1329.83	809.4300000000002	403.5	566.6700000000002	409.5	929.33	821.1700000000002	939.33	823.6700000000002	402.84	341.0	563.4999999999999	828.33	1115.83	982.0	717.5	284.8300000000001	1927.66	208.67	553.5	226.34	982.33	823.33	1108.33	1546.33	704.5	2420.16	420.84	995.34	735.86	1074.5	1107.93	1043.17	1091.21	877.3299999999998	437.33	123.5	1040.14	38.0	92.0	153.0	194.5	192.34	853.3299999999998	1030.67	153.67000000000004	343.0	108.33	1994.5	1725.0	1798.0	1592.5	2263.0	1062.0	878.0	702.5	1024.5	376.84	501.5	538.5	326.17	738.17	318.67	298.79	463.17	406.5	349.5	181.5	593.5	1343.9899999999998	1284.0	1223.0	298.32	892.5	779.6600000000002	422.83	3056.99	2382.17	767.6600000000002	846.5	2520.67	2462.0	1719.0	570.3299999999998	380.83	603.99	1232.66	2051.17	2517.5	2048.51	2185.99	2338.83	255.67	2023.33
1.1.1.292-RXN	15.67	10.0	6.4	3.0	12.0	8.33	2.2	10.4	9.67	2.2	7.8	47.2	34.8	3.8	8.0	32.6	0.0	0.0	0.0	52.0	16.0	0.0	0.0	48.33	0.0	0.0	0.0	9.4	120.0	5.0	129.0	144.0	0.0	118.0	156.0	157.0	108.5	18.0	17.0	59.0	13.0	0.0	20.0	21.0	0.0	99.0	4.67	0.0	3.2	10.0	39.0	18.0	14.0	0.0	48.0	0.0	0.0	0.0	0.0	17.0	0.0	0.0	87.0	0.0	39.0	0.0	13.8	23.0	31.2	63.2	12.07	18.53	50.07	18.87	11.2	53.33	6.6	5.2	12.4	86.8	43.0	4.6	5.0	70.6	0.0	86.0	11.0	21.0	55.0	182.87	55.67	78.4	53.67	53.0	89.0	541.0	0.0	263.0	17.0	127.0	156.0	432.0	504.0	129.0	217.0	49.0	61.33	22.0	11.0	69.0	32.0	99.0	38.67	101.0	57.0	156.0	108.0	134.0	161.0	91.0	0.0	78.0
