	U	pvalue	MoreIn	qvalue	Pathways
EC:1.1.1.1	2757.0	0.03108972993093958	swab	0.05375984827993514	
EC:1.1.1.100	1472.0	2.6441767633778352e-08	swab	2.118312395829659e-07	Metabolic pathways;Fatty acid biosynthesis;Biotin metabolism
EC:1.1.1.102	250.0	0.4167431646669484	swab	0.4930385117381651	
EC:1.1.1.103	3325.0	0.5158900984832434	swab	0.5866501438892385	
EC:1.1.1.105	317.0	0.0001473566837993013	swab	0.0004718502195309962	Retinol metabolism;Metabolic pathways
EC:1.1.1.107	0.0	0.017960477526078766	swab	0.033640509131595865	Vitamin B6 metabolism;Microbial metabolism in diverse environments
EC:1.1.1.108	2248.0	0.03314901296122716	swab	0.05713596996298541	
EC:1.1.1.11	2080.0	0.06810425495725327	swab	0.10525650386818261	
EC:1.1.1.122	3043.0	0.4151292848997723	swab	0.49140096314367065	
EC:1.1.1.125	2339.0	0.0010970418122867127	swab	0.002889867532612412	
EC:1.1.1.130	416.0	0.0002393069842694115	swab	0.0007472666267916368	Pentose and glucuronate interconversions;Ascorbate and aldarate metabolism;Metabolic pathways
EC:1.1.1.132	475.0	5.261334597254217e-07	swab	3.2432261393448913e-06	Amino sugar and nucleotide sugar metabolism;Metabolic pathways;Fructose and mannose metabolism
EC:1.1.1.133	3424.0	0.6986344998895657	skin	0.7555000987177862	
EC:1.1.1.136	899.0	4.846254959294757e-11	swab	7.457654214339199e-10	Amino sugar and nucleotide sugar metabolism;Metabolic pathways
EC:1.1.1.137	842.0	0.09232488451497771	swab	0.13848732677246658	
EC:1.1.1.14	2122.0	0.00012312338724766747	swab	0.0004045482723851931	Pentose and glucuronate interconversions;Metabolic pathways;Fructose and mannose metabolism
EC:1.1.1.140	1612.0	0.013155858335683036	swab	0.025983731283495858	Metabolic pathways;Fructose and mannose metabolism
EC:1.1.1.145	0.0	0.10880943004054568	swab	0.15811370302766792	
EC:1.1.1.157	2876.0	0.06571586711540015	skin	0.10297893022698969	
EC:1.1.1.159	2363.0	0.028380085545194573	swab	0.049676761850385595	Secondary bile acid biosynthesis
EC:1.1.1.163	0.0	0.06788915486182899	swab	0.10499992931992205	
EC:1.1.1.169	2939.0	0.09426968162169432	swab	0.14120647688291607	
EC:1.1.1.17	2222.0	0.0012553900365433598	swab	0.0032707421293133336	Metabolic pathways;Fructose and mannose metabolism
EC:1.1.1.173	156.0	0.00012931479682632378	swab	0.0004222967181855062	Microbial metabolism in diverse environments;Metabolic pathways;Fructose and mannose metabolism
EC:1.1.1.18	2480.0	0.0038466137014336117	skin	0.008670080829680186	
EC:1.1.1.193	1572.0	1.1687405838639814e-07	skin	8.196511832410022e-07	Riboflavin metabolism;Metabolic pathways;Biosynthesis of secondary metabolites
EC:1.1.1.2	364.0	0.1263152160892855	swab	0.18048647108549212	
EC:1.1.1.202	250.0	0.0025325910524721437	swab	0.006039255586664342	
EC:1.1.1.203	3211.0	0.6160954942706965	skin	0.6799939433668833	
EC:1.1.1.205	2454.0	0.0030821764737138813	skin	0.007135038395318174	Drug metabolism - other enzymes;Biosynthesis of secondary metabolites;Purine metabolism;Metabolic pathways
EC:1.1.1.206	241.0	1.1685532416167707e-06	swab	6.540630523035903e-06	Tropane, piperidine and pyridine alkaloid biosynthesis;Metabolic pathways;Biosynthesis of secondary metabolites
EC:1.1.1.21	0.0	0.10880943004054568	swab	0.15811370302766792	
EC:1.1.1.215	1760.0	1.588416869871164e-06	swab	8.601578948492203e-06	Microbial metabolism in diverse environments;Metabolic pathways;Pentose phosphate pathway
EC:1.1.1.219	2856.0	0.18129718281337337	swab	0.24012054119987963	
EC:1.1.1.22	2396.0	0.0018505418531690953	swab	0.00459733916832601	Pentose and glucuronate interconversions;Amino sugar and nucleotide sugar metabolism;Ascorbate and aldarate metabolism;Metabolic pathways
EC:1.1.1.23	390.0	3.3760963428630946e-17	swab	9.906331747082002e-15	Metabolic pathways;Histidine metabolism;Biosynthesis of secondary metabolites
EC:1.1.1.243	276.0	0.11163888874192278	swab	0.1615667002834728	
EC:1.1.1.25	3436.0	0.7223328901784232	skin	0.7760271482127811	
EC:1.1.1.251	21.0	8.709526130355564e-05	swab	0.00029570914909254843	Galactose metabolism;Metabolic pathways
EC:1.1.1.26	2206.0	0.0004597582517888076	swab	0.0013386251187327996	Microbial metabolism in diverse environments;Glyoxylate and dicarboxylate metabolism;Metabolic pathways;Biosynthesis of secondary metabolites
EC:1.1.1.261	1774.0	0.004430000452448411	swab	0.009860323587707755	Glycerophospholipid metabolism
EC:1.1.1.262	1494.0	3.688339287600064e-08	swab	2.9004991677119623e-07	Vitamin B6 metabolism;Metabolic pathways
EC:1.1.1.264	2193.0	0.030527642363207975	swab	0.05295914599748732	
EC:1.1.1.267	3323.0	0.5124694825701952	swab	0.5843135518217737	
EC:1.1.1.27	673.0	1.5626171450895144e-14	skin	8.356095183366179e-13	Pyruvate metabolism;Biosynthesis of secondary metabolites;Propanoate metabolism;Glycolysis / Gluconeogenesis;Microbial metabolism in diverse environments;Metabolic pathways;Cysteine and methionine metabolism;Biosynthesis of antibiotics
EC:1.1.1.271	3541.0	0.9387010937690651	swab	0.9538630116731734	
EC:1.1.1.275	512.0	0.582132652790463	swab	0.6481945571675172	
EC:1.1.1.276	2239.0	0.02184025396418928	skin	0.03972474764404836	
EC:1.1.1.28	2544.0	0.0065132408237751705	skin	0.013834977281087478	Pyruvate metabolism;Microbial metabolism in diverse environments;Metabolic pathways
EC:1.1.1.281	1401.0	0.0002829882231243957	swab	0.000875993935257717	Amino sugar and nucleotide sugar metabolism;Fructose and mannose metabolism
EC:1.1.1.284	3072.0	0.18663414747135154	skin	0.2461223436752287	
EC:1.1.1.29	2963.0	0.10747444499409499	swab	0.15811370302766792	
EC:1.1.1.290	3443.0	0.7362827538454944	skin	0.7874544052377561	
EC:1.1.1.292	2216.0	0.6823321285581365	swab	0.7416201336310234	
EC:1.1.1.298	381.0	0.18338587145939333	swab	0.2419878957752266	
EC:1.1.1.3	2851.0	0.05656565309093882	swab	0.09047490720884975	
EC:1.1.1.30	2768.0	0.033440659808201066	skin	0.05754591418321969	
EC:1.1.1.300	6.0	0.6858304344516057	swab	0.744287823080662	
EC:1.1.1.302	161.0	0.05410552267783879	swab	0.0873446890625639	
EC:1.1.1.303	2406.0	0.009525032163827347	swab	0.01947805334457619	Butanoate metabolism
EC:1.1.1.304	2783.0	0.03689037171170728	swab	0.06277526260249951	
EC:1.1.1.305	583.0	1.8507801035442249e-06	swab	9.726827128946184e-06	Amino sugar and nucleotide sugar metabolism;Metabolic pathways
