SampleNumber	Tile	NumberOfReadsRaw	NumberOfReadsPF
0	1101	611738	560760
1	1101	8	8
2	1101	94	87
3	1101	15	12
4	1101	24	21
5	1101	40	39
6	1101	6	5
7	1101	1	1
8	1101	6	5
9	1101	573	522
10	1101	926	839
11	1101	602	541
12	1101	363	301
13	1101	75	68
14	1101	291	256
15	1101	948	840
16	1101	478	420
17	1101	63	58
18	1101	314	273
19	1101	384	344
20	1101	143	128
21	1101	203	180
22	1101	291	255
23	1101	283	253
24	1101	155	140
25	1101	71	58
26	1101	215	183
27	1101	229	169
28	1101	204	176
29	1101	236	199
30	1101	321	278
31	1101	451	399
32	1101	297	260
33	1101	47	38
34	1101	346	304
35	1101	385	349
36	1101	123	109
37	1101	522	467
38	1101	198	188
39	1101	305	285
40	1101	42	37
41	1101	252	226
42	1101	483	409
43	1101	949	823
44	1101	230	193
45	1101	109	101
46	1101	106	95
47	1101	50	47
48	1101	60	53
49	1101	170	153
50	1101	45363	42064
51	1101	239	213
52	1101	201	181
53	1101	417	368
54	1101	50	39
55	1101	178	159
56	1101	109	92
57	1101	49	44
58	1101	53	46
59	1101	36	28
60	1101	95	89
61	1101	175	158
62	1101	60	51
63	1101	118	106
64	1101	118	106
65	1101	48	41
66	1101	253	228
67	1101	155	139
68	1101	106	92
69	1101	134	118
70	1101	97	90
71	1101	273	236
72	1101	168	145
73	1101	37	34
74	1101	797	710
75	1101	608	539
76	1101	751	659
77	1101	560	497
78	1101	969	835
79	1101	490	434
80	1101	476	437
81	1101	67	60
82	1101	121	105
83	1101	54	47
84	1101	17	17
85	1101	68	62
86	1101	336	293
87	1101	250	221
88	1101	1240	1098
89	1101	72	58
90	1101	865	782
91	1101	152	123
92	1101	226	201
93	1101	331	312
94	1101	183	169
95	1101	265	227
96	1101	329	291
0	1102	611076	560794
1	1102	10	10
2	1102	107	94
3	1102	20	17
4	1102	30	30
5	1102	51	47
6	1102	12	12
7	1102	2	1
8	1102	6	4
9	1102	568	516
10	1102	861	783
11	1102	627	552
12	1102	383	323
13	1102	66	62
14	1102	297	263
15	1102	902	790
16	1102	457	405
17	1102	71	59
18	1102	349	318
19	1102	438	391
20	1102	150	132
21	1102	212	188
22	1102	264	233
23	1102	253	227
24	1102	165	145
25	1102	70	65
26	1102	218	193
27	1102	196	136
28	1102	199	171
29	1102	201	179
30	1102	307	269
31	1102	480	421
32	1102	273	233
33	1102	50	42
34	1102	345	304
35	1102	359	314
36	1102	116	102
37	1102	535	475
38	1102	175	163
39	1102	298	268
40	1102	50	47
41	1102	212	187
42	1102	474	412
43	1102	894	780
44	1102	253	230
45	1102	102	86
46	1102	90	79
47	1102	40	35
48	1102	54	51
49	1102	186	161
50	1102	45153	42009
51	1102	224	207
52	1102	208	177
53	1102	425	380
54	1102	60	49
55	1102	175	167
56	1102	97	86
57	1102	57	50
58	1102	53	46
59	1102	30	23
60	1102	97	93
61	1102	197	175
62	1102	94	82
63	1102	126	112
64	1102	107	98
65	1102	36	36
66	1102	235	213
67	1102	132	114
68	1102	99	92
69	1102	147	132
70	1102	98	83
71	1102	277	249
72	1102	156	139
73	1102	50	43
74	1102	777	686
75	1102	597	528
76	1102	756	685
77	1102	572	505
78	1102	960	842
79	1102	512	442
80	1102	503	457
81	1102	58	45
82	1102	120	108
83	1102	48	39
84	1102	22	18
85	1102	93	81
86	1102	345	318
87	1102	240	209
88	1102	1170	1052
89	1102	68	54
90	1102	835	740
91	1102	147	121
92	1102	271	241
93	1102	296	274
94	1102	179	170
95	1102	271	231
96	1102	299	257
0	1103	614705	563066
1	1103	10	10
2	1103	119	99
3	1103	22	16
4	1103	20	17
5	1103	50	44
6	1103	9	8
7	1103	2	2
8	1103	2	2
9	1103	529	474
10	1103	881	789
11	1103	616	550
12	1103	339	296
13	1103	71	66
14	1103	308	267
15	1103	853	752
16	1103	450	392
17	1103	67	62
18	1103	313	276
19	1103	373	330
20	1103	133	117
21	1103	193	172
22	1103	236	208
23	1103	244	227
24	1103	190	168
25	1103	68	59
26	1103	188	162
27	1103	247	151
28	1103	178	152
29	1103	249	219
30	1103	275	242
31	1103	444	406
32	1103	270	238
33	1103	57	49
34	1103	324	294
35	1103	371	336
36	1103	120	105
37	1103	568	496
38	1103	176	158
39	1103	337	304
40	1103	58	55
41	1103	242	215
42	1103	480	417
43	1103	955	840
44	1103	277	236
45	1103	95	86
46	1103	120	109
47	1103	55	45
48	1103	56	54
49	1103	174	151
50	1103	45601	42228
51	1103	224	199
52	1103	200	171
53	1103	418	372
54	1103	60	46
55	1103	193	179
56	1103	109	100
57	1103	65	57
58	1103	64	58
59	1103	26	16
60	1103	78	71
61	1103	190	166
62	1103	78	65
63	1103	90	79
64	1103	98	86
65	1103	51	43
66	1103	234	209
67	1103	150	131
68	1103	102	95
69	1103	132	123
70	1103	108	98
71	1103	273	254
72	1103	186	161
73	1103	41	36
74	1103	797	706
75	1103	639	552
76	1103	738	646
77	1103	554	501
78	1103	975	834
79	1103	496	446
80	1103	429	381
81	1103	80	71
82	1103	128	108
83	1103	60	49
84	1103	25	24
85	1103	74	66
86	1103	308	278
87	1103	267	233
88	1103	1174	1048
89	1103	79	65
90	1103	901	790
91	1103	178	148
92	1103	234	205
93	1103	314	286
94	1103	168	151
95	1103	268	236
96	1103	281	252
0	1104	614346	560805
1	1104	10	9
2	1104	112	99
3	1104	20	18
4	1104	36	35
5	1104	41	38
6	1104	7	7
8	1104	5	4
9	1104	525	476
10	1104	804	728
11	1104	624	540
12	1104	357	293
13	1104	68	62
14	1104	310	269
15	1104	863	745
16	1104	431	383
17	1104	60	55
18	1104	305	269
19	1104	416	375
20	1104	144	131
21	1104	218	196
22	1104	258	225
23	1104	222	206
24	1104	165	145
25	1104	64	57
26	1104	187	160
27	1104	1660	1593
28	1104	179	159
29	1104	238	215
30	1104	250	210
31	1104	442	383
32	1104	264	233
33	1104	50	42
34	1104	323	294
35	1104	340	303
36	1104	118	102
37	1104	522	460
38	1104	171	156
39	1104	342	311
40	1104	43	39
41	1104	218	196
42	1104	423	378
43	1104	960	824
44	1104	250	215
45	1104	91	75
46	1104	113	100
47	1104	45	37
48	1104	64	60
49	1104	150	122
50	1104	44451	40904
51	1104	233	207
52	1104	197	178
53	1104	417	374
54	1104	58	49
55	1104	144	134
56	1104	124	105
57	1104	56	49
58	1104	67	60
59	1104	26	22
60	1104	109	99
61	1104	188	157
62	1104	83	73
63	1104	92	80
64	1104	107	95
65	1104	43	35
66	1104	242	217
67	1104	131	114
68	1104	107	94
69	1104	162	141
70	1104	99	89
71	1104	260	242
72	1104	194	170
73	1104	29	23
74	1104	815	705
75	1104	592	515
76	1104	726	644
77	1104	571	505
78	1104	894	780
79	1104	508	444
80	1104	468	412
81	1104	59	51
82	1104	109	99
83	1104	52	43
84	1104	15	15
85	1104	90	81
86	1104	278	244
87	1104	234	204
88	1104	1209	1060
89	1104	65	52
90	1104	830	737
91	1104	135	111
92	1104	205	185
93	1104	304	275
94	1104	172	153
95	1104	272	228
96	1104	336	305
0	1105	619424	565199
1	1105	10	9
2	1105	114	104
3	1105	20	17
4	1105	25	25
5	1105	42	36
6	1105	3	2
8	1105	8	7
9	1105	544	496
10	1105	902	801
11	1105	567	502
12	1105	346	285
13	1105	62	54
14	1105	285	249
15	1105	831	726
16	1105	384	347
17	1105	60	54
18	1105	347	315
19	1105	425	388
20	1105	121	100
21	1105	191	167
22	1105	260	225
23	1105	222	198
24	1105	159	134
25	1105	81	76
26	1105	206	179
27	1105	199	152
28	1105	201	169
29	1105	226	191
30	1105	265	228
31	1105	466	405
32	1105	312	275
33	1105	43	36
34	1105	324	282
35	1105	341	292
36	1105	93	83
37	1105	515	464
38	1105	192	171
39	1105	289	268
40	1105	51	49
41	1105	233	207
42	1105	428	375
43	1105	963	831
44	1105	258	229
45	1105	97	87
46	1105	93	82
47	1105	40	33
48	1105	59	55
49	1105	163	145
50	1105	45823	42277
51	1105	214	185
52	1105	191	173
53	1105	420	371
54	1105	62	43
55	1105	152	140
56	1105	121	111
57	1105	47	36
58	1105	52	46
59	1105	36	31
60	1105	95	85
61	1105	188	164
62	1105	79	71
63	1105	114	100
64	1105	105	91
65	1105	33	29
66	1105	250	230
67	1105	161	142
68	1105	98	85
69	1105	133	114
70	1105	108	101
71	1105	271	248
72	1105	148	131
73	1105	30	23
74	1105	757	663
75	1105	567	495
76	1105	664	590
77	1105	568	497
78	1105	876	744
79	1105	524	459
80	1105	418	377
81	1105	62	55
82	1105	129	107
83	1105	34	27
84	1105	19	19
85	1105	81	75
86	1105	305	268
87	1105	239	200
88	1105	1196	1057
89	1105	74	67
90	1105	796	704
91	1105	147	121
92	1105	244	214
93	1105	319	290
94	1105	156	137
95	1105	260	225
96	1105	311	272
0	1106	619074	566267
1	1106	6	5
2	1106	87	69
3	1106	20	18
4	1106	26	24
5	1106	40	37
6	1106	5	5
8	1106	6	5
9	1106	559	517
10	1106	872	778
11	1106	618	563
12	1106	358	292
13	1106	85	76
14	1106	322	283
15	1106	829	723
16	1106	364	319
17	1106	75	63
18	1106	327	298
19	1106	412	371
20	1106	119	102
21	1106	214	195
22	1106	258	223
23	1106	262	233
24	1106	146	125
25	1106	55	52
26	1106	220	186
27	1106	167	142
28	1106	179	152
29	1106	217	194
30	1106	277	244
31	1106	453	395
32	1106	276	239
33	1106	49	41
34	1106	292	255
35	1106	329	289
36	1106	111	99
37	1106	510	448
38	1106	192	176
39	1106	321	283
40	1106	60	52
41	1106	237	212
42	1106	438	392
43	1106	934	817
44	1106	267	229
45	1106	115	104
46	1106	125	116
47	1106	38	29
48	1106	55	51
49	1106	183	157
50	1106	45710	42153
51	1106	225	206
52	1106	210	180
53	1106	389	352
54	1106	58	42
55	1106	170	159
56	1106	108	101
57	1106	44	37
58	1106	29	24
59	1106	35	29
60	1106	96	86
61	1106	164	146
62	1106	77	68
63	1106	113	102
64	1106	95	87
65	1106	40	33
66	1106	240	220
67	1106	117	102
68	1106	104	95
69	1106	130	116
70	1106	97	83
71	1106	262	230
72	1106	186	153
73	1106	30	24
74	1106	807	708
75	1106	528	456
76	1106	707	624
77	1106	551	480
78	1106	860	745
79	1106	503	447
80	1106	456	397
81	1106	65	60
82	1106	115	105
83	1106	48	36
84	1106	12	11
85	1106	62	56
86	1106	293	248
87	1106	205	172
88	1106	1193	1062
89	1106	54	39
90	1106	851	766
91	1106	140	110
92	1106	211	185
93	1106	305	278
94	1106	177	157
95	1106	230	202
96	1106	318	272
0	1107	620271	567197
1	1107	10	9
2	1107	86	82
3	1107	31	24
4	1107	27	27
5	1107	50	46
6	1107	10	8
7	1107	1	1
8	1107	4	4
9	1107	564	509
10	1107	865	774
11	1107	598	556
12	1107	347	289
13	1107	56	53
14	1107	307	269
15	1107	779	689
16	1107	402	348
17	1107	72	63
18	1107	307	277
19	1107	417	384
20	1107	108	89
21	1107	188	169
22	1107	222	187
23	1107	256	226
24	1107	146	134
25	1107	78	69
26	1107	205	178
27	1107	179	124
28	1107	180	156
29	1107	216	194
30	1107	255	220
31	1107	399	343
32	1107	260	228
33	1107	47	43
34	1107	328	280
35	1107	341	288
36	1107	107	96
37	1107	479	430
38	1107	161	147
39	1107	299	272
40	1107	37	33
41	1107	241	208
42	1107	456	396
43	1107	931	824
44	1107	253	226
45	1107	91	84
46	1107	100	89
47	1107	38	36
48	1107	54	50
49	1107	167	148
50	1107	45916	42558
51	1107	205	181
52	1107	207	180
53	1107	402	350
54	1107	51	36
55	1107	148	137
56	1107	111	103
57	1107	42	32
58	1107	51	43
59	1107	25	19
60	1107	92	85
61	1107	155	143
62	1107	80	70
63	1107	107	101
64	1107	112	99
65	1107	57	46
66	1107	265	243
67	1107	153	132
68	1107	94	89
69	1107	115	99
70	1107	98	86
71	1107	262	235
72	1107	134	120
73	1107	36	33
74	1107	749	676
75	1107	567	480
76	1107	673	609
77	1107	566	513
78	1107	870	753
79	1107	463	408
80	1107	385	348
81	1107	64	56
82	1107	132	114
83	1107	38	31
84	1107	18	15
85	1107	78	71
86	1107	285	249
87	1107	252	206
88	1107	1131	1010
89	1107	70	62
90	1107	843	747
91	1107	130	105
92	1107	214	195
93	1107	325	291
94	1107	167	160
95	1107	235	209
96	1107	309	270
0	1108	622693	568591
1	1108	10	9
2	1108	123	106
3	1108	22	19
4	1108	25	24
5	1108	41	38
6	1108	8	6
8	1108	8	8
9	1108	541	496
10	1108	806	721
11	1108	585	521
12	1108	350	300
13	1108	66	62
14	1108	313	275
15	1108	755	676
16	1108	352	313
17	1108	70	62
18	1108	322	290
19	1108	397	358
20	1108	138	128
21	1108	192	170
22	1108	239	207
23	1108	230	206
24	1108	127	111
25	1108	76	69
26	1108	206	162
27	1108	161	133
28	1108	178	162
29	1108	210	179
30	1108	241	214
31	1108	425	364
32	1108	264	230
33	1108	40	36
34	1108	305	268
35	1108	329	290
36	1108	106	97
37	1108	485	425
38	1108	181	166
39	1108	293	258
40	1108	40	34
41	1108	219	192
42	1108	404	354
43	1108	892	782
44	1108	236	205
45	1108	90	86
46	1108	99	91
47	1108	38	34
48	1108	65	62
49	1108	161	147
50	1108	45818	42382
51	1108	213	186
52	1108	189	171
53	1108	404	349
54	1108	49	38
55	1108	151	143
56	1108	112	100
57	1108	57	51
58	1108	55	50
59	1108	29	19
60	1108	90	84
61	1108	163	138
62	1108	61	51
63	1108	110	100
64	1108	80	73
65	1108	37	34
66	1108	232	216
67	1108	142	128
68	1108	121	112
69	1108	117	105
70	1108	106	93
71	1108	310	288
72	1108	157	140
73	1108	29	25
74	1108	758	672
75	1108	544	474
76	1108	686	629
77	1108	499	449
78	1108	790	691
79	1108	454	385
80	1108	416	374
81	1108	69	59
82	1108	117	98
83	1108	41	34
84	1108	17	15
85	1108	67	63
86	1108	302	258
87	1108	232	197
88	1108	1084	963
89	1108	60	50
90	1108	817	729
91	1108	151	116
92	1108	223	200
93	1108	320	293
94	1108	167	149
95	1108	225	199
96	1108	288	256
0	1109	621741	564211
1	1109	5	5
2	1109	111	99
3	1109	11	10
4	1109	28	27
5	1109	43	37
6	1109	8	6
7	1109	2	1
8	1109	10	9
9	1109	495	449
10	1109	832	750
11	1109	598	532
12	1109	377	315
13	1109	69	60
14	1109	277	242
15	1109	673	591
16	1109	377	324
17	1109	55	51
18	1109	318	294
19	1109	403	365
20	1109	102	83
21	1109	206	167
22	1109	241	213
23	1109	226	200
24	1109	144	131
25	1109	49	47
26	1109	225	186
27	1109	149	115
28	1109	158	139
29	1109	209	183
30	1109	232	199
31	1109	419	379
32	1109	256	220
33	1109	35	33
34	1109	319	277
35	1109	314	268
36	1109	94	85
37	1109	531	457
38	1109	172	156
39	1109	280	248
40	1109	39	35
41	1109	229	209
42	1109	403	354
43	1109	855	720
44	1109	249	207
45	1109	91	85
46	1109	87	76
47	1109	32	28
48	1109	56	49
49	1109	163	149
50	1109	45962	42353
51	1109	229	205
52	1109	171	154
53	1109	423	375
54	1109	43	29
55	1109	159	149
56	1109	97	86
57	1109	33	29
58	1109	46	36
59	1109	20	16
60	1109	81	75
61	1109	150	135
62	1109	69	65
63	1109	105	96
64	1109	91	81
65	1109	38	33
66	1109	237	208
67	1109	135	110
68	1109	90	81
69	1109	111	93
70	1109	73	66
71	1109	259	228
72	1109	149	134
73	1109	21	20
74	1109	756	665
75	1109	500	447
76	1109	690	626
77	1109	542	479
78	1109	743	632
79	1109	440	391
80	1109	369	338
81	1109	70	68
82	1109	119	98
83	1109	40	31
84	1109	10	9
85	1109	75	70
86	1109	266	239
87	1109	205	181
88	1109	1073	938
89	1109	63	55
90	1109	811	729
91	1109	122	91
