	TotalPairs	BothSurviving	Proportion
AS240	18037	3960	0.2195487054388202
AS77	6268	4514	0.7201659221442246
AS244	32377	7767	0.2398925162924298
AS155	15585	11639	0.7468078280397819
AS99	8396	2027	0.24142448785135778
AS66	34115	25937	0.7602814011431921
AS115	11013	2559	0.23236175429038408
AS124	13756	2977	0.2164146554230881
AS211	5838	1234	0.21137375813634807
AS149	10511	7483	0.7119208448292266
AS179	6890	3824	0.5550072568940494
AS109BC18	61007	58201	0.954005278082843
AS177	16270	12446	0.7649661954517517
AS234	8908	1936	0.2173327346205658
AS123	28955	6466	0.2233120359178035
AS114	10726	2352	0.21928025358940892
AS180	8127	5723	0.7041958902424019
AS105	17281	4268	0.24697644812221514
AS189	49026	35383	0.7217190878309468
AS61	2397	1744	0.7275761368377138
AS83	9433	5644	0.5983250291529736
AS111	4962	1215	0.24486094316807738
AS144	22739	5403	0.23760939355292668
AS139	11445	2851	0.2491044124071647
AS204	13593	3043	0.22386522474803208
AS145	5619	1357	0.2415020466275138
AS98	501	94	0.18762475049900199
AS101	1401	331	0.23625981441827265
AS161	1197654	964032	0.8049336452765156
AS74	4171	2435	0.5837928554303524
AS116	2680	548	0.2044776119402985
AS236	18115	4179	0.23069279602539333
AS102	12669	2900	0.22890520167337597
AS212	19828	4322	0.21797458140004033
AS76	29215	20764	0.7107307889782646
AS190	25251	19171	0.7592174567343868
AS232	10222	2395	0.2342985717080806
AS62	2306	1725	0.7480485689505637
AS227	23190	5242	0.22604570935748167
AS162	11951	9039	0.7563383817253786
AS170	1010	806	0.7980198019801981
AS90	13897	9702	0.69813628840757
AS248	19091	4156	0.21769420145618354
AS182	15579	12328	0.7913216509403684
AS208	25211	5932	0.23529411764705882
AS178	8185	5731	0.7001832620647526
AS213	576	141	0.24479166666666666
AS119	4570	1088	0.23807439824945295
AS207	20161	5012	0.24859877982242945
AS110	1382	235	0.17004341534008682
AS152	12172	8645	0.7102366086099244
AS70	3219	2434	0.7561354457906182
AS238	15690	3619	0.23065646908859147
AS215	6417	1497	0.23328658251519402
AS242	29194	6467	0.22151812016167705
AS87	22545	17020	0.7549345752938568
AS216	9012	2075	0.230248557478917
AS146BC22	75572	71783	0.9498623828931351
AS235	14835	3275	0.22076171216717222
AS106	13866	2981	0.2149862974181451
AS84	8825	6118	0.693257790368272
AS85	12639	8904	0.7044861144077854
AS237	30759	7053	0.22929874183165902
AS140	39710	10309	0.25960715185091915
AS203	10578	2287	0.2162034411041785
AS65	284	222	0.7816901408450704
AS60	787	635	0.806861499364676
AS154	50748	38450	0.7576653267123827
AS82	8833	5868	0.6643269557341787
AS176	1622	1056	0.6510480887792849
AS222	3041	652	0.21440315685629727
AS168	2475	1712	0.6917171717171717
AS188	37754	27489	0.7281082799173597
AS142	15249	12251	0.8033969440619056
AS169	2999	2237	0.7459153051017006
AS92	5058	3570	0.7058125741399762
AS166	12411	9677	0.7797115462090082
AS195	4678	2819	0.602607952116289
AS214	22143	5597	0.2527661111863794
AS193	6005	4590	0.7643630308076603
AS108	12127	2830	0.23336356889585222
AS183	7584	6157	0.8118407172995781
AS71	14641	11332	0.7739908476196982
AS231	1429	315	0.22043386983904828
AS127	11861	9130	0.7697495995278645
AS192	3234	2418	0.7476808905380334
AS224	5314	1383	0.26025592773805045
AS68	18849	12332	0.6542522149716166
AS134	10530	7655	0.7269705603038936
AS185	41032	32436	0.7905049717293819
AS157	5116	3798	0.7423768569194683
AS184	1757	1131	0.6437108708025042
AS164	21970	16451	0.7487938097405553
AS117	13793	3122	0.226346697600232
AS229	28329	6694	0.2362949627590102
AS129	3483	2542	0.729830605799598
AS167	6455	4667	0.7230054221533695
AS58	308	246	0.7987012987012987
AS187	52192	33751	0.6466699877375843
AS186	27774	21628	0.7787139050910924
AS210	4192	868	0.20706106870229007
AS249	25443	5816	0.228589395904571
AS120	16690	3822	0.22899940083882564
AS153	24343	17779	0.7303536951074231
AS128	65174	51361	0.7880596556909197
AS228	39903	9876	0.2475001879557928
